model,repeat,fold,n_train_records,n_test_records,n_train_subjects,n_test_subjects,accuracy,balanced_accuracy,macro_f1,roc_auc
random_forest,5,3,223,56,133,32,0.7321428571428571,0.6417797888386123,0.6510178645616951,0.7707390648567118
extra_trees,5,3,223,56,133,32,0.6607142857142857,0.5904977375565611,0.5918680475642502,0.7375565610859729
gradient_boosting,5,3,223,56,133,32,0.6428571428571429,0.5942684766214178,0.5906432748538011,0.7254901960784315
logistic_regression,5,4,223,56,133,32,0.6964285714285714,0.7178362573099415,0.68424543946932,0.8289473684210527
svm_rbf,5,4,223,56,133,32,0.8035714285714286,0.8406432748538011,0.7956882255389718,0.8859649122807017
knn_7,5,4,223,56,133,32,0.5892857142857143,0.6535087719298246,0.5881036136872402,0.7295321637426899
random_forest,5,4,223,56,133,32,0.8214285714285714,0.7807017543859649,0.7888386123680242,0.902046783625731
extra_trees,5,4,223,56,133,32,0.8035714285714286,0.7675438596491229,0.7714285714285714,0.8676900584795321
gradient_boosting,5,4,223,56,133,32,0.8035714285714286,0.7967836257309941,0.7836318932209343,0.8771929824561404
logistic_regression,5,5,224,55,131,34,0.8363636363636363,0.8003095975232198,0.8051948051948052,0.8188854489164086
svm_rbf,5,5,224,55,131,34,0.8545454545454545,0.8297213622291022,0.8297213622291022,0.913312693498452
knn_7,5,5,224,55,131,34,0.8,0.7577399380804954,0.7619047619047619,0.858359133126935
random_forest,5,5,224,55,131,34,0.8181818181818182,0.7383900928792569,0.7604529616724739,0.8575851393188854
extra_trees,5,5,224,55,131,34,0.8909090909090909,0.8397832817337462,0.8625,0.8792569659442724
gradient_boosting,5,5,224,55,131,34,0.8727272727272727,0.826625386996904,0.8427929767251939,0.8467492260061918
